Rank	Protein	Mean rank	Overlapping Proteins
210	MATK	189.7	CDKN1C,SCARB1,LRRK2,PTPRO,FMN2,BLNK,DLGAP2,TNS1,PDGFRB,PDGFRA,MME,PKLR,IDH1,DCXR,PLCL1,PDZK1,PTPN13,HSPG2,CIT,PARD3B,LATS2,PLCB4,NPHS1,LHX1,MAP1B,PARD3,DOCK2,PLCB1,MET
211	FLT3	189.8	RB1,CDKN1C,SCARB1,LRRK2,PTPRO,RASAL3,PIK3R5,GRB14,BLNK,TNS1,PDGFRB,PDGFRA,MME,IDH1,DCXR,PLCL1,HDHD2,HSPG2,MLF1,PLCB4,LATS2,DOCK2,PLCB1,MET
212	TBK1	190	RB1,UHRF1,LRRK2,PTPRO,HSPB1,PEPD,RASAL3,HSPD1,KIF15,TGOLN2,TKFC,PDLIM2,GRB14,EPB41L3,BLNK,UBAP2L,TNS1,RANBP2,PDGFRB,PDGFRA,DAXX,PKLR,CAV2,PLCL1,USP2,PDZK1,PROX1,OSMR,ATP1B1,PTPN13,HSPG2,PARD3B,HNRNPK,LATS2,PLCB4,PARD3,ACIN1,SLC25A5,PLCB1,ARHGEF7,MET,ARHGEF6
213	PBK	190.8	RB1,TOP2A,PAGE4,CDCA2,UHRF1,LRRK2,PTPRO,NCAPG,WIZ,KIF15,HSPD1,PDLIM2,SPDL1,NEFH,TNS1,RANBP2,GSTM3,SLC13A3,DAXX,FCER1G,PKLR,PLCL1,ANK2,ANK3,PDZK1,PTPN13,ANK1,HSPG2,DUSP9,CIT,PARD3B,RSL1D1,SLC9A3,CENPF,ILF3,LATS2,PLCB4,NASP,PSAT1,PARD3,KIF4A,GSTA1,SLC22A8,PLCB1,TJP3
214	MAPKAPK3	191	RB1,TOR4A,VIL1,DAXX,PSAT1,LRRK2,HSPB1,ANK3,NOS1,SLC25A5
215	EPHA2	191.6	RB1,SCARB1,LRRK2,PTPRO,HSPB1,FMN2,TGOLN2,GRB14,EPB41L1,PRX,CA9,TNS1,PDGFRB,PDGFRA,PKLR,CAV2,IDH1,PLCL1,AHNAK2,SLC16A12,ANK2,PROX1,ANK3,PDZK1,OSMR,PTPN13,ANK1,HSPG2,DUSP9,MLF1,CIT,PARD3B,CENPF,LATS2,HNRNPK,PLCB4,LHX1,PARD3,KIF4A,GPD1,PLCB1,MET,PLEC
216	TTK	192.2	RB1,TOP2A,PAGE4,CDCA2,UHRF1,LRRK2,NCAPG,KIF15,HSPD1,PCM1,SPDL1,NEFH,PDGFRB,RANBP2,DAXX,DUSP9,CIT,CENPF,ILF3,LATS2,NASP,PSAT1,MAP1B,KIF4A
217	NLK	193	RANBP2,PDGFRB,IRX1,PDGFRA,IRX2,LRRK2,MYO7B,HSPB1,ANK2,ANK3,CIT,LATS2,NPHS1,MAP1B,ATP6V1B2,UBAP2L,LZTS2,MYH10
218	PIM1	193.4	RB1,ATP6V1A,PAGE4,UHRF1,LRRK2,PTPRO,CALML3,PEPD,PHF8,HSPD1,PDLIM2,TNS1,PDGFRB,RANBP2,PDGFRA,EPHX2,IDH1,USP2,SORD,ANK2,WRNIP1,PROX1,ANK3,HDHD2,ANK1,DUSP9,CIT,APBB1IP,ILF3,LATS2,GPD1,MET
219	CSNK1D	194.2	UHRF1,LRRK2,ARHGEF10L,RASAL3,HSPD1,PHF8,PCM1,LZTS2,PDGFRB,RANBP2,DAXX,USP2,ZFP91,DUSP9,SOD3,PLEKHA7,CIT,FABP1,MZT2B,LATS2,PARD3,PPIF,MET,RABL6
220	TRPM6	194.3	PDGFRB,SLC12A3,CASR,SLC12A1,ANK2,ANK3,SLC4A4,ANK1,SLC9A3,NPHS1,NPHS2,KCNMA1,BSND,NOS1,ALPK2,CLDN16,PLCB1,MYH10
221	ROCK2	194.8	RB1,CDKN1C,TAGLN,LRRK2,PTPRO,FMN2,SYNE2,KIF15,TGOLN2,PCM1,EPB41L3,NOS1,MYH10,TNS1,PDGFRB,PDGFRA,DAXX,DST,PKLR,PLCL1,ANK2,PROX1,ANK3,PDZK1,CGN,ATP1B1,PTPN13,HSPG2,DUSP9,MPP7,CIT,PARD3B,SLC9A3,GAP43,LATS2,PLCB4,MAP1B,PARD3,KCNMA1,ARHGEF7,PLCB1,MET,TJP3,ARHGEF6,PLEC
222	MAPK12	195.1	RB1,USP6NL,ATP6V1A,TAGLN,LRRK2,PTPRO,HSPB1,CALML3,FMN2,SIPA1L2,RAP1GAP,HSPD1,BLNK,NOS1,NEFH,MYH10,TNS1,PDGFRB,RANBP2,PDGFRA,DAXX,PARP4,FCER1G,PLCL1,MAGI2,AP3D1,ZFP91,ANK2,ANK3,PTPN13,ANK1,DUSP9,SOD3,PLEKHA7,CIT,SLC9A3,SLC9A4,LATS2,PLCB4,PARD3,GPD1,ATP6V1B2,PLCB1,MET
223	CDK15	195.2	RB1,CDKN1C,TOP2A,ATP6V1A,CRYBG1,LRRK2,PTPRO,FOXI1,NCAPG,CALML3,FMN2,KIF15,HSPD1,PDLIM2,BLNK,TNS1,PDGFRB,IRX1,IRX2,SLC13A3,ANK2,ANK3,PTPN13,ANK1,DUSP9,SOD3,CIT,LATS2,NASP,PITPNM3,KIF4A,LHX1,LPIN2
224	ERBB4	195.6	RB1,TOP2A,LRRK2,HSPB1,PTH1R,LRP2,GRB14,EPB41L1,NPY,EPB41L3,NOS1,DLGAP2,TNS1,PDGFRB,PDGFRA,MME,IDH1,PLCL1,MAGI2,ANK2,ANK3,L1CAM,NPNT,PTPN13,ANK1,HSPG2,DUSP9,PARD3B,APBB1IP,GAP43,LATS2,PLCB4,TH,NPHS1,LHX1,PARD3,ACIN1,ALPK2,PLCB1,MET
225	MAP3K14	196.2	RB1,USP6NL,TBC1D9B,LRRK2,FMN2,PIK3R5,KIF15,GRB14,BLNK,MYH10,TNS1,PDGFRB,PDGFRA,MYO7B,ZFP91,PTPN13,L1CAM,DUSP9,CIT,RSL1D1,LATS2,KIF4A,GPD1,MET
226	WEE1	196.7	RB1,CDKN1C,TOP2A,CDCA2,SLC23A1,LRRK2,PTPRO,FOXI1,NCAPG,KIF15,PCM1,BLNK,CA9,SPDL1,MYH10,TNS1,PDGFRB,PDGFRA,DAXX,USP2,ANK2,CGN,ANK3,ANK1,DUSP9,CIT,ILF3,CENPF,LATS2,HNRNPK,NASP,PARD3,KIF4A,ACIN1,ARHGEF7,MET,TJP3,PLEC
227	FES	197	TOP2A,DDC,LRRK2,PTPRO,PRUNE2,HSPB1,FMN2,RASAL3,PIK3R5,HSPD1,GRB14,NOS1,HAO2,NEFH,TNS1,PDGFRB,PDGFRA,DAXX,FCER1G,PKLR,EPHX2,DCXR,PLCL1,PDZK1,PTPN13,HSPG2,MPP7,PARD3B,APBB1IP,LATS2,PLCB4,SUCLA2,PARD3,FDX1,GSTA1,ACO1,DOCK2,PLCB1,SLC25A5,MET,SLC27A2,ARHGEF6,PLEC
228	ACVR1	197.1	RB1,CDKN1C,LRRK2,PTPRO,PTH1R,SDCBP,TNS1,PDGFRB,IRX1,PDGFRA,DAXX,PKLR,CAV2,IDH1,PLCL1,USP2,MAGI2,ZFP91,ANK2,ANK3,PDZK1,PROX1,OSMR,ATP1B1,PTPN13,L1CAM,HSPG2,CIT,PARD3B,CENPF,LATS2,HNRNPK,PLCB4,MAP1B,PARD3,LHX1,GSTA1,ACIN1,PLCB1,ARHGEF7,MET,TJP3,PLEC,ARHGEF6
229	PIP5K1B	198.3	ATP6V1A,GK,LRRK2,PLCL1,MAGI2,PIK3R5,PARD3B,HSPD1,GATM,PLCB4,PARD3,PITPNM3,GPD1,GPAT3,ACO1,PLCB1,MYH10,MET,PFKP,RABL6
230	CSNK1G3	198.3	RB1,RANBP2,LRRK2,AP3D1,ATP1B1,SOD3,PLEKHA7,ASS1,CIT,PCM1,LATS2,SUCLA2,GRB14,GPD1,BLNK,PLCB1
231	SGK1	199.7	RB1,CDKN1C,LRRK2,FOXI1,PEPD,SLC4A4,MT2A,GRB14,TNS1,PDGFRB,PDGFRA,SLC6A19,DAXX,SLC36A2,MAGI2,USP2,NPY1R,SORD,ANK2,ANK3,PDZK1,PROX1,ATP1B1,ANK1,CIT,SLC9A3,SLC9A4,LATS2,DDAH1,KCNMA1,GPD1,DOCK2,PLCB1,MET,ATP6V1A,LRP2,TGOLN2,NPY,BSND,PCK2,SLC12A3,SLC12A1,SOD3,PLEKHA7,ALDH6A1,NASP,NPHS1,NPHS2,PSAT1
232	CDC7	200.2	RB1,TOP2A,CDKN1C,PECR,CDCA2,UHRF1,NCAPG,KIF15,HSPD1,SPDL1,TNS1,DAXX,PARP4,TMEM132E,CAV2,MICAL3,WRNIP1,PROX1,CIT,CENPF,ILF3,HNRNPK,LATS2,NASP,KIF4A
233	PASK	200.4	ATP6V1A,LRRK2,PTPRO,FOXI1,HSPB1,WIZ,CALML3,FMN2,PHF8,PDLIM2,ZNF687,TNS1,PCK2,PKLR,PLCL1,MAGI2,SLC12A1,ZFP91,ANK2,ANK3,PDZK1,PROX1,PTPN13,ANK1,HSPG2,DUSP9,PLEKHA7,CIT,PARD3B,PPP1R3G,SLC9A3,SLC9A4,PLCB4,PARD3,KIF4A,GPD1,PLCB1,MET
234	PAK5	200.7	AHNAK,LRRK2,CALML3,FMN2,ELFN2,KIF15,PTDSS1,LZTS2,MYH10,TNS1,SPTBN2,PARP4,MYO7B,ZFP91,ANK3,DUSP9,CIT,APBB1IP,LATS2,KIF4A,ATP6V1B2,ALPK2,ARHGEF7,SLC25A5,MET,ARHGEF6
235	STK25	201.1	PDGFRB,IRX1,PDGFRA,IRX2,DAXX,TAGLN,TBC1D9B,LRRK2,CALML3,WRNIP1,PTPN13,DUSP9,CIT,HSPD1,LATS2,LHX1,PLIN2,SLC25A5,PLCB1,NEFH,RABL6,TNS1,SPTBN2
236	MAP3K2	201.1	RB1,USP6NL,ATP6V1A,TBC1D9B,LRRK2,FMN2,HSPD1,KIF15,BCLAF1,MYH10,TNS1,RANBP2,PDGFRB,PDGFRA,DAXX,USP2,MYO7B,AP3D1,DUSP9,CIT,LATS2,KIF4A,GPD1,ATP6V1B2,MET,ARHGEF6
237	ATM	202.7	RB1,USP6NL,CDKN1C,TOP2A,LRRK2,PTPRO,HSPB1,FMN2,TRIOBP,SYNE2,PHF8,PCM1,GRB14,BLNK,CA9,UBAP2L,TNS1,CHGB,PDGFRB,PDGFRA,DAXX,PARP4,DST,MME,USP2,MAGI2,MYO7B,WRNIP1,ANK2,PROX1,OSMR,DUSP9,CIT,LATS2,PALLD,MAP1B,ALPK2,DOCK2,ARHGEF7,SCG2,MET,ARHGEF6,CDCA2,UHRF1,PRUNE2,NCAPG,PIK3R5,BCLAF1,TCOF1,NPY,SPTBN2,RANBP2,IDH1,L1CAM,PTPN13,SOD3,VIL1,CENPF,HNRNPK,NASP,NPHS1,LHX1,ACIN1,WRAP53
238	STYK1	203	SLC12A3,LATS2,PLCB4,LRRK2,PLCL1,SLC12A1,PLCB1,DOCK2,MET,HSPG2
239	CDK12	203.1	PDGFRB,USP6NL,TOP2A,RANBP2,PDGFRA,MTCH2,TBC1D9B,GK,LRRK2,FMN2,PHF8,SDCBP,BCLAF1,ILF3,NASP,PPIF,ARHGEF7,ACAA1,MYH10,TNS1,PLEC
240	MARK3	203.3	APBB1IP,LATS2,LRRK2,MAP1B,PARD3,MAP6,CGN,CHGB,CIT,PARD3B
241	PKMYT1	203.3	TOP2A,RB1,CDKN1C,CDCA2,UHRF1,LRRK2,SLC23A1,FOXI1,NCAPG,KIF15,TGOLN2,SPDL1,MYH10,TNS1,SPTBN2,ANK2,ANK3,ANK1,DUSP9,CIT,CENPF,ILF3,LATS2,NASP,KIF4A,PPIF,MET,TJP3,WRAP53
242	RPS6KA5	203.9	PDGFRB,PDGFRA,UHRF1,LRRK2,HSPB1,ARHGEF10L,L1CAM,PTPN13,CIT,PDLIM2,TH,PLCB1,MET
243	TAOK3	204.8	RB1,PDGFRB,USP6NL,RANBP2,ATP6V1A,PDGFRA,DAXX,LRRK2,MAGI2,DUSP9,PLEKHA7,PARD3B,FABP1,NHSL2,LATS2,GRB14,PARD3,KCNMA1,NCKAP5,ARHGEF6
244	CAMKV	205.3	ATP6V1A,CALML3,DDN,TCOF1,NPY,TCEAL2,DLGAP2,NEFH,CHGB,SPTBN2,PDGFRB,TMEM132E,ANK2,L1CAM,PLEKHA7,CIT,GAP43,LATS2,MAP1B,MAP7D2,ACIN1,SCG2,MET,PFKP
245	HIPK1	206.1	PDGFRB,PAGE4,DAXX,GK,UHRF1,LRRK2,IDH1,ANK2,ANK3,PTPN13,ANK1,DUSP9,ASS1,CIT,AGMAT,BCLAF1,LATS2,NHS,LZTS2,PLCB1,TNS1
246	EPHA1	206.8	LAD1,LRRK2,PTPRO,HSPB1,FMN2,SDCBP,GRB14,NOS1,TNS1,PDGFRB,PDGFRA,PKLR,PLCL1,MAGI2,ANK2,ANK3,PDZK1,PROX1,L1CAM,PTPN13,ANK1,HSPG2,PARD3B,GAP43,LATS2,HNRNPK,PLCB4,PARD3,PITPNM3,LHX1,GPD1,ALPK2,PLCB1,MET,TJP3
247	PAK6	207.3	PDGFRB,PDGFRA,LATS2,LRRK2,PTPRO,BLNK,ARHGEF7,MET,CIT,TNS1
248	AURKC	209.3	PDGFRB,CDKN1C,TOP2A,DAXX,PARP4,UHRF1,LRRK2,NCAPG,ANK2,FMN2,ANK3,ANK1,CIT,KIF15,PARD3B,CENPF,LATS2,GJB1,NASP,PARD3,KIF4A,MYH10,TNS1
249	DAPK1	210.8	RB1,CDKN1C,SCARB1,UHRF1,LRRK2,PTPRO,CALML3,RASAL3,SALL3,EPB41L3,UBAP2L,TNS1,PDGFRB,IRX1,PDGFRA,DAXX,DST,AGXT2,IDH1,ANK2,ANK3,ATP1B1,ANK1,CIT,AGMAT,LATS2,MAP1B,MT1G,ACIN1,ARHGEF7,PLCB1
250	PXK	211.6	RB1,USP6NL,PDGFRB,ATP6V1A,LRRK2,ATP1B1,PTPN13,CIT,SPCS2,LATS2,KCNMA1,BLNK,ATP6V1B2,ALDOB,NOS1,GPRC5C,MET
251	MAPK7	212	ATP6V1A,TAGLN,UHRF1,LRRK2,PTPRO,HSPB1,WIZ,CALML3,FMN2,SIPA1L2,RAP1GAP,HSPD1,BLNK,NOS1,MYH10,TNS1,PDGFRB,RANBP2,PDGFRA,DAXX,FCER1G,EPHX2,PLCL1,MAGI2,ZFP91,ANK2,ANK3,PTPN13,ANK1,DUSP9,SOD3,PLEKHA7,CIT,MZT2B,SLC9A3,SLC9A4,PLCB4,GJB1,TH,NASP,GPD1,PLCB1,MET
252	AXL	214.7	LRRK2,PTPRO,GRB14,COBLL1,MYH10,TNS1,PDGFRB,PDGFRA,FCER1G,PKLR,IDH1,PLCL1,MAGI2,PDZK1,PTPN13,HSPG2,PARD3B,LATS2,PLCB4,MAP1B,PARD3,DOCK2,PLCB1,MET,PLEC
253	ATR	214.7	RB1,TOP2A,CRYBG1,LRRK2,NCAPG,SLC3A1,CALML3,PEPD,KIF15,PHF8,AKAP12,BCLAF1,MT2A,GRB14,UBAP2L,MYH10,TNS1,RANBP2,PDGFRB,PDGFRA,DAXX,PARP4,DST,PLCL1,WRNIP1,ANK2,DUSP9,CIT,CENPF,ILF3,PLCB4,LATS2,NASP,KIF4A,ATP6V1B2,PLCB1,MET,WRAP53,PLEC,ARHGEF6
254	CDK11B	215.1	RB1,PDGFRB,LRRK2,AP3D1,CIT,MZT2B,PCM1,BCLAF1,LATS2,HNRNPK,TH,TCOF1,NASP,NPY,DPEP1,UBAP2L
255	MST1R	215.6	LAD1,AHNAK,LRRK2,PTPRO,FMN2,SYNE2,GRB14,COBLL1,BLNK,TNS1,SPTBN2,PDGFRB,PDGFRA,CASR,PKLR,DST,PLCL1,MICAL3,PDZK1,PTPN13,HSPG2,DUSP9,PRODH2,MPP7,CIT,PARD3B,APBB1IP,SLC9A3,PLCB4,PARD3,PLCB1,MET,SLC27A2,TJP3,PLEC
256	ROR1	216.3	PDGFRB,PDGFRA,PKLR,CAV2,LRRK2,PLCL1,PTPRO,NPY1R,ANK2,ANK3,PDZK1,PTPN13,HSPG2,CIT,KIF15,PARD3B,LATS2,PLCB4,GRB14,PARD3,PLCB1,MET,PLEC
257	PNCK	216.5	CDCA2,NDUFA4L2,CALML3,ANK2,ANK3,L1CAM,NPNT,ANK1,SLC4A4,DUSP9,RAP1GAP,CIT,PHF8,DDN,GAP43,LATS2,PLCB4,KCNMA1,CA9,PLCB1,SLC25A5,DLGAP2,SPTBN2
258	BMX	216.5	LRRK2,PTPRO,FMN2,SDCBP,GRB14,EPB41L3,BLNK,TNS1,PDGFRB,PDGFRA,PKLR,PLCL1,PDZK1,PROX1,PTPN13,HSPG2,CIT,PARD3B,LATS2,PLCB4,HNRNPK,PARD3,PLCB1,ARHGEF7,MET
259	SIK2	216.6	RB1,PDGFRB,PDGFRA,LRRK2,HSPB1,CGN,PTPN13,ACSF2,SYNE2,LATS2,GRB14,PCK1,MET,PCK2
260	IRAK1	216.8	RB1,CDKN1C,LRRK2,PTPRO,HSPB1,ARHGEF10L,HSPD1,PDLIM2,BLNK,TNS1,PDGFRB,PDGFRA,DAXX,PKLR,PLCL1,USP2,PROX1,PDZK1,OSMR,PTPN13,HSPG2,DUSP9,CIT,PARD3B,LATS2,PLCB4,PARD3,KIF4A,ARHGEF7,PLCB1,DOCK2,MET,PLEC
261	MYLK2	216.9	PDGFRB,PDGFRA,DAXX,LRRK2,CALML3,ANK2,PROX1,TRIOBP,PPP1R3G,LATS2,TH,KIF4A,ALPK2,NOS1,PCK1,MYH10,NCKAP5,FBP1,FBP2,SPTBN2
262	SCYL3	217	PDGFRB,TGOLN2,TOP2A,MZT2B,RANBP2,IRX1,LRRK2,MAP1B,BLNK,FTCD,CIT
263	ROR2	219.4	RB1,LRRK2,PTPRO,WIZ,FMN2,KIF15,GRB14,PDGFRB,PDGFRA,DAXX,CASR,PKLR,PLCL1,NPY1R,ANK2,ANK3,PDZK1,PTPN13,DUSP9,HSPG2,PARD3B,LATS2,PLCB4,NPHS1,LHX1,PARD3,PLCB1,MET,ARHGEF6
264	RIPK4	220	RB1,TOP2A,LAD1,LRRK2,PTPRO,FOXI1,HSPB1,CALML3,FMN2,FTCD,SYNE2,KIF15,AKAP12,ZNF687,DLGAP2,TNS1,DST,DCXR,MAGI2,MYO7B,ZFP91,ANK2,ANK3,PDZK1,NPNT,ANK1,HSPG2,DUSP9,CIT,PARD3B,SLC9A4,PLCB4,MAP1B,PARD3,PPIF,SLC25A5,PLCB1,DOCK2,SLC27A2,MET,PLEC,WIZ,RASAL3,HSPD1,PIK3R5,SDCBP,PTDSS1,PDLIM2,EPB41L1,EPB41L3,NHS,MYH10,FAM83B,PCK2,SPTBN2,RANBP2,GK,PKLR,PLCL1,MICAL3,AP3D1,PTPN13,MPP7,PLEKHA7,ASS1,HNRNPK,NPHS1,KIF4A,TJP3
265	PRKCH	220.3	TOP2A,LRRK2,CALML3,FMN2,RASAL3,PDLIM2,EPB41L3,MYH10,PDGFRB,PDGFRA,CASR,FCER1G,EPHX2,PLCL1,ANK2,ANK3,HDHD2,PTPN13,ANK1,DUSP9,HNRNPK,PLCB4,LATS2,PITPNM3,ALPK2,SLC25A5,PLCB1,LPIN2,MET,PLEC
266	CAMK1D	220.6	PECR,MTCH2,LRRK2,CALML3,PEPD,GRB14,PCK1,MYH10,CASR,DST,ANK2,ANK3,PROX1,ANK1,DUSP9,LATS2,PLCB4,TH,NASP,KCNMA1,PLCB1,SLC25A5,ARHGEF7,ARHGEF6
267	EPHB1	221.9	ALDH1L1,LRRK2,PTPRO,FMN2,SDCBP,GRB14,NHS,NOS1,TNS1,PDGFRB,PDGFRA,MME,PKLR,PLCL1,MAGI2,ANK2,PROX1,ANK3,PDZK1,L1CAM,PTPN13,ANK1,HSPG2,DUSP9,PARD3B,GAP43,PLCB4,TH,PARD3,LHX1,MAP1B,KCNMA1,ARHGEF7,PLCB1,MET,PLEC
268	HIPK4	222.1	PDGFRB,IRX2,DAXX,GK,DST,LRRK2,NDUFA4L2,ANK2,ANK3,FMN2,PTPN13,ANK1,DUSP9,CIT,DDN,LATS2,PRX,PFKP,TNS1
269	NEK9	222.3	TOP2A,TBC1D9B,UHRF1,LRRK2,FMN2,BICD1,TRIOBP,HSPD1,PCM1,CSPP1,BLNK,SPDL1,MYH10,RANBP2,PDGFRB,PDGFRA,PARP4,MYO7B,EAF2,ANK2,ANK3,PDZK1,ANK1,CIT,PARD3B,HNRNPK,LATS2,PARD3,PITPNM3,MAP7D2,ARHGEF7,LPIN2,MET
270	CDC42BPA	222.9	RB1,LRRK2,PTPRO,FMN2,TRIOBP,SYNE2,KIF15,TGOLN2,AKAP12,NHSL2,PCM1,EPB41L1,MYH10,DLGAP2,TNS1,PDGFRB,PDGFRA,PKLR,DST,PLCL1,ANK2,ANK3,PDZK1,PROX1,PTPN13,ANK1,HSPG2,DUSP9,MPP7,PLEKHA7,CIT,PARD3B,LATS2,PLCB4,DDAH1,PALLD,MAP1B,PARD3,ACO1,ARHGEF7,PLCB1,TJP3,ARHGEF6,PLEC
271	CIT	223.3	TOP2A,CDCA2,LRRK2,PTPRO,NCAPG,CALML3,FMN2,KIF15,TGOLN2,PCM1,SPDL1,DLGAP2,MYH10,TNS1,SPTBN2,PDGFRB,DAXX,PKLR,PLCL1,ANK2,ANK3,PDZK1,PTPN13,ANK1,HSPG2,DUSP9,MPP7,CIT,PARD3B,CENPF,ILF3,LATS2,PLCB4,PARD3,KIF4A,ARHGEF7,PLCB1,MET,ARHGEF6,PLEC
272	CDK16	224.6	RB1,CDKN1C,TOP2A,ATP6V1A,AHNAK,LRRK2,PTPRO,FOXI1,NCAPG,MT1X,FMN2,KIF15,HSPD1,MT2A,PDLIM2,EPB41L3,TNS1,IRX1,PDGFRB,IRX2,PDGFRA,SLC13A3,ANK2,CGN,ANK3,ATP1B1,PTPN13,ANK1,DUSP9,SOD3,PLEKHA7,MPP7,CIT,LATS2,NASP,PITPNM3,KIF4A,LHX1,LPIN2,MET
273	MYO3A	225.4	DDC,LRRK2,FOXI1,CALML3,FMN2,BICD1,TRIOBP,KIF15,SDCBP,PCM1,PDLIM2,GRB14,COBLL1,BSND,MAP6,NOS1,MYH10,TNS1,PDGFRB,IRX1,PDGFRA,IRX2,MYO7B,SLC16A12,ANK2,ANK3,PDZK1,ANK1,CIT,PARD3B,APBB1IP,VIL1,PLCB4,LATS2,PARD3,KIF4A,CDHR2,PLCB1
274	TAOK2	225.8	RB1,ATP6V1A,SLC43A2,LRRK2,TRIOBP,SDCBP,NOS1,MYH10,PDGFRB,PDGFRA,DAXX,MAGI2,AP3D1,DUSP9,PLEKHA7,CIT,PARD3B,SLC9A3,LATS2,NPHS1,TH,PARD3,ARHGEF6,PLEC
275	CDK18	226.6	RB1,CDKN1C,TOP2A,ATP6V1A,LRRK2,PTPRO,FOXI1,NCAPG,FMN2,KIF15,HSPD1,MT2A,PDLIM2,LZTS2,DLGAP2,TNS1,SPTBN2,IRX1,PDGFRA,IRX2,SLC13A3,ANK2,ANK3,ATP1B1,PTPN13,ANK1,DUSP9,SOD3,PLEKHA7,MPP7,CIT,LATS2,NASP,DDAH1,PITPNM3,KIF4A,LHX1,SLC25A5,ARHGEF7,LPIN2,ARHGEF6
276	IRAK2	227.4	RB1,ATP6V1A,LRRK2,PTPRO,HSPD1,TNS1,PDGFRB,PDGFRA,DAXX,MME,PKLR,PLCL1,PROX1,PDZK1,OSMR,PTPN13,ANK1,HSPG2,PARD3B,LATS2,PLCB4,TH,PARD3,PLCB1
277	NTRK2	227.8	RB1,LRRK2,PTPRO,HSPB1,FMN2,PTH1R,ELFN2,SLC4A4,BICD1,KIF15,MT2A,NOS1,DLGAP2,NEFH,CHGB,TNS1,PDGFRB,PDGFRA,MAGI2,USP2,NPY1R,ANK2,ANK3,PDZK1,PROX1,ATP1B1,ANK1,HSPG2,PARD3B,GAP43,PLCB4,MAP1B,PARD3,KCNMA1,PLCB1,MET,SCG2,DDC,LRP2,DDN,EPB41L1,NPY,TCEAL2,MAP6,TMEM132E,PKLR,CAV2,PLCL1,SLC16A12,L1CAM,PTPN13,TH,LHX1
278	BMPR1B	228	RB1,PTPRO,NCAPG,FMN2,TNS1,PDGFRB,PDGFRA,PKLR,PLCL1,ANK2,PROX1,ANK3,PDZK1,L1CAM,ATP1B1,PTPN13,HSPG2,CIT,PARD3B,LATS2,HNRNPK,PLCB4,PARD3,LHX1,MAP1B,ACIN1,PLCB1,TJP3,ARHGEF6,PLEC
279	MAST4	228	PDGFRB,PDGFRA,LRRK2,MAGI2,AP3D1,ANK1,DUSP9,BICD1,MPP7,CIT,ALDH6A1,LATS2,PDLIM2,NASP,PARD3,COBLL1,UBAP2L,BPNT1,ARHGEF7,NCKAP5,CHGB,TNS1,SPTBN2
280	BMPR2	228.4	RB1,CDKN1C,TAGLN,LRRK2,PTPRO,GRB14,NPY,NOS1,TNS1,PDGFRB,RANBP2,PDGFRA,DAXX,PKLR,CAV2,PLCL1,NPY1R,PROX1,PDZK1,ATP1B1,PTPN13,HSPG2,CIT,PARD3B,LATS2,PLCB4,DDAH1,PALLD,LHX1,MAP1B,PARD3,ARHGEF7,PLCB1,SCG2,MET
281	EPHB3	228.6	LRRK2,PTPRO,FMN2,RAP1GAP,SDCBP,TNS1,PDGFRB,PDGFRA,PKLR,PLCL1,MAGI2,ANK2,ANK3,PDZK1,L1CAM,PTPN13,ANK1,HSPG2,DUSP9,SOD3,PLEKHA7,PARD3B,PLCB4,HNRNPK,PARD3,LHX1,ARHGEF7,PLCB1,MET,TJP3,PLEC
282	MARK1	229.8	PDGFRB,TOP2A,PECR,SLC36A2,LRRK2,ANK2,ATP1B1,ELFN2,MLF1,CIT,PARD3B,LATS2,MAP1B,PARD3,GSTA1,MAP6,ARHGEF7,NEFH,MYH10
283	CLK3	230.1	PDGFRB,IRX1,PDGFRA,GK,LRRK2,PTPN13,DUSP9,SYNE2,SDCBP,BCLAF1,LATS2,PLCB1,MET,CHGB,TNS1
284	BMP2K	230.5	RANBP2,TAGLN,DST,LRRK2,MYO7B,AP3D1,FMN2,L1CAM,PLEKHA7,SYNE2,HSPD1,TGOLN2,PALLD,PPIF,ACO1,MYH10,LPIN2,SPTBN2,PLEC
285	MAP4K2	232.3	PDGFRB,DAXX,SLC36A2,LRRK2,SLC12A1,HPS5,SIPA1L2,ANK1,DUSP9,PCM1,LATS2,NPHS1,BLNK,ZNF687,MET,ARHGEF6
286	TRIB3	233.1	RB1,ATP6V1A,SCARB1,AHNAK,LRRK2,CALML3,SIPA1L2,PHF8,GRB14,GPAT3,PCK1,TNS1,PCK2,RANBP2,PDGFRB,PDGFRA,TMEM132E,ANK2,PDZK1,PROX1,ANK3,OSMR,L1CAM,DUSP9,ANK1,SOD3,PLEKHA7,CIT,FABP1,RSL1D1,LATS2,PSAT1,MAP1B,LHX1,GSTA1,GPD1,ACIN1,PLIN2,ALPK2,ARHGEF7,PLCB1,LPIN2,MET,FBP2,RABL6
287	PLK2	233.4	RB1,USP6NL,TOP2A,TBC1D9B,LRRK2,FOXI1,NCAPG,SIPA1L2,BICD1,RAP1GAP,HSPD1,KIF15,NPY,MAP6,SPDL1,MYH10,TNS1,PDGFRB,PDGFRA,MAGI2,ANK2,ANK3,ANK1,DUSP9,CIT,CENPF,LATS2,TH,NASP,KIF4A,FDX1,MET,RABL6
288	MAP4K5	233.7	RB1,PDGFRB,PDGFRA,DAXX,LRRK2,SIPA1L2,DUSP9,CIT,HSPD1,HNRNPK,LATS2,PARD3,DHX57,EPB41L3,BLNK,NHS,DOCK2,LPIN2,MET,ARHGEF6
